Sentence_ID,Source,Sentences,Labels,Entities,SentFIN_ID,Word Count
585,Financial Phrasebank,"We succeeded in increasing our market share of sold apartment '' , comments Mr Kari Kauniskangas , Head of YIT International Construction Services .",2,,,
586,Financial Phrasebank,"With CapMan as a partner , we will be able to further develop our business and continue to focus on providing quality restaurant services for our customers , '' says Christopher Wynne , CEO of Papa John 's Russia .",2,,,
587,Financial Phrasebank,"Finnish Suominen Corporation that specialises in wet wipes , nonwovens , and flexible packaging reports net sales of EUR 44.1 mn in the second quarter of 2010 , up from EUR 43.3 mn in the second quarter of 2009 .",2,,,
588,Financial Phrasebank,"Finnish telecoms software developer Tecnomen Oyj said on December 5 , 2006 it won a $ 3.3 mln ( 2.5 mln euro ) order to supply an expansion of the charging and messaging systems for the mobile and fixed networks of Brasil Telecom .",2,,,
589,Financial Phrasebank,Increased trust of our clients in YIT can be seen as apartment sales accelerated .,2,,,
590,Financial Phrasebank,"( ADP News ) - Dec 11 , 2008 - Finnish construction and engineering company Outotec Oyj ( OMX : OTE1V ) said today it won a EUR 28 million ( USD 36.8 m ) order to expand the phosphate concentrator in Siilinjarvi of Norwegian minera",2,,,
591,Financial Phrasebank,"Mr Priit Kasak , Balti Metsamasina 's owner , said the Rakvere-based company wishes to increase Valmet 's market share from 27 % to a third in a couple of years .",2,,,
592,Financial Phrasebank,"Ponsse plans to create a network that is based on strong partnership , and participates in the production of larger entities than presently .",1,,,
593,Financial Phrasebank,The bank sees a potential for Getinge share to rise .,2,,,
594,Financial Phrasebank,"The company recorded revenues of E658 .1 million during the fiscal year ended December 2007 , an increase of 23 % over 2006 .",2,,,
595,Financial Phrasebank,The cooperation will double The Switch 's converter capacity .,2,,,
596,Financial Phrasebank,The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,2,,,
597,Financial Phrasebank,"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",2,,,
598,Financial Phrasebank,"This truly takes efficiency to new heights , '' Mr. Metso adds .",2,,,
599,Financial Phrasebank,We hope to increase traffic volumes with the opening of Freight One Scandinavia . '',2,,,
600,Financial Phrasebank,"a January 11 , 2010 EPHC board of directors has approved an increase in the quarterly dividend from $ 0.03 to $ 0.05 per share .",2,,,
601,Financial Phrasebank,"Finnish Cargotec 's Kalmar , the business area providing container handling solutions , has been awarded an order for a further ten E-One rubber-tyred gantry RTG cranes from Saigon Newport Company SNP , in Vietnam .",2,,,
602,Financial Phrasebank,"Bilfinger investors cheered the agreement , pushing shares up 7 % , or & euro ; 3.30 , to & euro ; 50.29 , in afternoon trade .",2,,,
603,Financial Phrasebank,"Kesko pursues a strategy of healthy , focused growth concentrating on sales and services to consumer-customers .",2,,,
604,Financial Phrasebank,"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",2,,,
605,Financial Phrasebank,LONDON MarketWatch -- Nokia nok said it 's won a five-year services contract to run Hutchison Essar 's network operations in nine locations in India .,2,,,
606,Financial Phrasebank,"Progress Group , QPR 's representative in Saudi Arabia and North Africa , has signed a framework agreement for a long term strategic relationship with ISE .",2,,,
607,Financial Phrasebank,"Ragutis , controlled by the Finnish brewery Olvi , achieved a 5.7 percent rise in beer sales to 22.6 million liters and held a 10.75 percent market share .",2,,,
608,Financial Phrasebank,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",2,,,
609,Financial Phrasebank,"The metal has gained 41 percent this year as demand from China , the world 's largest user , increased .",2,,,
610,Financial Phrasebank,"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland and have extended their existing rental agreements in the Swedish market for another five years .",2,,,
611,Financial Phrasebank,"OUTOTEC OYJ PRESS RELEASE DECEMBER 4 , 2009 10.30 AM Outotec establishes a new subsidiary in Kolkata Outotec has established a subsidiary in India in order to better serve its Indian customers and to increase its business in the growing Indian market .",2,,,
612,Financial Phrasebank,It is also 7.7 pct above the 12-month volume weighted average price of the stock .,2,,,
613,Financial Phrasebank,"Mobile phone shipments jumped 26 percent to almost 112 million units , while Finnish company 's global market share rose to 39 percent from 36 percent .",2,,,
614,Financial Phrasebank,"On January 29 , 2009 The largest Nordic bank Nordea and Finnish retail chain Stockmann launched a regionally unique cooperation project : they are the first to introduce a common MasterCard credit card enabling payments in different states and stores .",1,,,
615,Financial Phrasebank,"QPR has an established international customer base , spread over 70 countries in 2009 , and a variety of organizations including banks , manufacturing companies , service companies and government authorities .",1,,,
616,Financial Phrasebank,"Selects Third Party Logistics Leader Transplace for Best-in-Class Technology , Procurement Capabilities ; Leading Specialty Packaging Manufacturer Employs Complete 3PL Solution for Supply Chain Visibility and Transportation Efficiency to Increase Service Levels and On-Time Deliveries",2,,,
617,Financial Phrasebank,4G allows customers to use mobile broadband services with speeds up to ten times higher than with today 's 3G .,2,,,
618,Financial Phrasebank,"According to Eijkens , a publisher can do much more than just publish colourful books : a publisher can provide value added to information by individualising it .",1,,,
619,Financial Phrasebank,"Based on strong customer interest and feedback , using RPM mobile phone manufacturers , operators , enterprises and developer forums can significantly increase their product and service quality , user-experience and cost-efficiency '' , Tulonen continues .",2,,,
620,Financial Phrasebank,Cameco is to provide an upfront investment of up to USD 60mn for the construction of the uranium extraction circuit .,1,,,
621,Financial Phrasebank,"CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",1,,,
622,Financial Phrasebank,The original contract was signed last summer .,1,,,
623,Financial Phrasebank,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",1,,,
624,Financial Phrasebank,`` Ixonos has a rich heritage in developing leadership experiences in the smartphone segment .,2,,,
625,Financial Phrasebank,`` The acquisition of Elektros Pavara completes KONE 's market expansion strategy in the Baltic Countries .,2,,,
626,Financial Phrasebank,18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,2,,,
627,Financial Phrasebank,"ALEXANDRIA , Va. , Oct. 15 -- Aaron Moss of Hampshire , Great Britain , has developed an ornamental design for a handset , the U.S. Patent & Trademark Office announced .",1,,,
628,Financial Phrasebank,hybrid bond 18 January 2010 - Finnish IT consultancy Trainers ' House Oyj HEL : TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,1,,,
629,Financial Phrasebank,"Repair and maintenance business accounted for net sales of EUR 645.3 mn , up from EUR 563.6 mn .",2,,,
630,Financial Phrasebank,"The money will be spent `` on strengthening the company 's competitiveness in the sphere of sawmill products and increasing the volume of wood delivered for processing in Russia , '' the release says .",2,,,
631,Financial Phrasebank,The new technology improves the glass quality and consistency while increasing throughput .,2,,,
632,Financial Phrasebank,"The reasons behind the estimate include the rise in 2008 rent levels and several fully-leased office and retail properties , which were completed and added to the company 's investment property portfolio .",1,,,
633,Financial Phrasebank,"The Vaisala Group is a successful international technology company that develops , manufactures and markets electronic measurement systems and products .",2,,,
634,Financial Phrasebank,"The Vuokatti unit will be developed to focus especially on the manufacture of prototypes , the ramp-up of new products and the demanding testing and after-sales services .",1,,,
635,Financial Phrasebank,We look forward to helping the company develop its operational services and further digitalize its services for its customers . '',2,,,
636,Financial Phrasebank,"AGJ recorded EUR 43 mln sales in 2006 , most of which was generated by exports to customers in Western Europe , the statement said .",1,,,
637,Financial Phrasebank,"`` The number of collection errors fell considerably , and operations speeded up .",2,,,
638,Financial Phrasebank,"By combining its existing solutions into a single platform , Comptel said that it has reduced the cost of deployment .",2,,,
639,Financial Phrasebank,"In the second quarter of 2010 , the group 's pretax loss narrowed to EUR 400,000 from EUR 600,000 .",2,,,
640,Financial Phrasebank,"26 January 2011 - Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said yesterday its net loss narrowed to EUR500 ,000 in the last quarter of 2010 from EUR5 .3 m for the same period a year earlier .",2,,,
641,Financial Phrasebank,8 May 2009 - Finnish liquid handling products and diagnostic test systems maker Biohit Oyj ( HEL : BIOBV ) said today ( 8 May 2009 ) its net loss narrowed to EUR0 .1 m ( USD0 .14 m ) for the first quarter of 2009 from EUR0 .4 m for the same period of 2008 .,2,,,
642,Financial Phrasebank,Finnish fibers and plastic products maker Suominen Corporation said its net loss from continuing operations narrowed to 1.8 mln euro ( $ 2.3 mln ) in 2006 from 3.7 mln euro ( $ 4.8 mln ) in 2005 .,2,,,
643,Financial Phrasebank,"Finnish metal products company Componenta Oyj ( HEL : CTH1V ) said today its net loss narrowed to EUR 500,000 ( USD 680,000 ) in the last quarter of 2010 from EUR 5.3 million for the same period a year earlier .",2,,,
644,Financial Phrasebank,Finnish sports equipment maker Amer Sports Oyj ( HEL : AMEAS ) said today that its net loss narrowed to EUR 16.9 million ( USD 22.3 m ) in the second quarter of 2010 from EUR 23.2 million in the corresponding period a year earlier .,2,,,
645,Financial Phrasebank,"Finnish steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today its net loss contracted to EUR 49 million ( USD 68.2 m ) for the first nine months of 2010 from EUR 229 million for the same period a year ago .",2,,,
646,Financial Phrasebank,"For the first nine months of 2010 , Talvivaara 's net loss narrowed to EUR 8.3 million from EUR 21.9 million for the same period of 2009 .",2,,,
647,Financial Phrasebank,"In the first nine months of 2010 , the company 's net loss narrowed to EUR 415,000 from EUR 7.4 million for the corresponding period of 2009 .",2,,,
648,Financial Phrasebank,"In the first nine months of 2010 , the company 's net loss narrowed to EUR415 ,000 from EUR7 .4 m for the corresponding period of 2009 .",2,,,
649,Financial Phrasebank,"( ADP News ) - Feb 9 , 2009 - Finnish computer services company Proha Oyj ( HEL : ART1V ) said today its net loss narrowed to EUR 113,000 ( USD 146,000 ) for 2008 from EUR 1.2 million for 2007 .",2,,,
650,Financial Phrasebank,The new factory working model and reorganisations would decrease Nokian Tyres ' costs in the factory by EUR 30 million ( USD 38.7 m ) .,2,,,
651,Financial Phrasebank,20 October 2010 - Finnish metal products company Componenta Oyj HEL : CTH1V said yesterday that its net loss narrowed to EUR7m for the first nine months of 2010 from EUR23 .3 m for the same period of 2009 .,2,,,
652,Financial Phrasebank,Finnish fibers and plastic products maker Suominen Corporation said its net loss narrowed to 1.6 mln euro $ 2.0 mln in the first nine months of 2006 from 2.16 mln euro $ 2.7 mln in the same period of 2005 .,2,,,
653,Financial Phrasebank,"In contrast , the company 's net loss for the third quarter of 2009 contracted to EUR 76 million from EUR 256 million for the corresponding period a year ago .",2,,,
654,Financial Phrasebank,"In the second quarter of 2010 , Raute 's net loss narrowed to EUR 123,000 from EUR 1.5 million in the same period of 2009 .",2,,,
655,Financial Phrasebank,"ADP News - Nov 13 , 2008 - Finnish printed circuit board PCB maker Aspocomp Group Oyj OMX : ACG1V said today that its net loss narrowed to EUR 2 million USD 2.5 m in the first nine months of 2008 from EUR 57",2,,,
656,Financial Phrasebank,"Metsaliitto , however , narrowed its net loss for the second quarter of 2007 to 5.0 mln euro $ 6.9 mln from 61 mln euro $ 83.7 mln a year ago .",2,,,
657,Financial Phrasebank,"narrows to EUR2 .8 m 9-mo '09 29 October 2009 - Finnish software and hardware developer Elektrobit Oyj HEL : EBG1V , or EB , said today that its net loss narrowed to EUR2 .8 m for the first nine months of 2009 from EUR35 .6 m for the same period a year ago .",2,,,
658,Financial Phrasebank,The diluted loss per share narrowed to EUR 0.27 from EUR 0.86 .,2,,,
659,Financial Phrasebank,Unit costs for flight operations fell by 6.4 percent .,2,,,
660,Financial Phrasebank,The loss for the third quarter of 2007 was EUR 0.3 mn smaller than the loss of the second quarter of 2007 .,2,,,
661,Financial Phrasebank,Airvana 's UMTS Home Base Station femto cell uses software-based functionality and off-the-shelf silicon to accelerate feature development and reduce product cost .,2,,,
662,Financial Phrasebank,"According to Sepp+ñnen , the new technology UMTS900 solution network building costs are by one-third lower than that of the building of 3.5 G networks , operating at 2,100 MHz frequency .",2,,,
663,Financial Phrasebank,The costs of the new ropax vessels are 30 % lower than those of the present ones .,2,,,
664,Financial Phrasebank,The last job losses related to these reductions will take place during 2010 .,1,,,
665,Financial Phrasebank,The program 's target is structural cost reductions of about EUR 30mn in 2009 .,2,,,
666,Financial Phrasebank,"The third quarter result also includes a 400,000 euro ( $ 575,000 ) provision for down-sizing of lure manufacturing in Ireland .",1,,,
667,Financial Phrasebank,UPM-Kymmene is working closely with its shipping agents to reduce fuel consumption and greenhouse gas emissions .,2,,,
668,Financial Phrasebank,"2009 3 February 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR46m in the fourth quarter of 2009 from a year-earlier profit of EUR45m .",0,,,
669,Financial Phrasebank,"( ADPnews ) - Feb 3 , 2010 - Finland-based steel maker Rautaruukki Oyj ( HEL : RTRKS ) , or Ruukki , said today it slipped to a larger-than-expected pretax loss of EUR 46 million ( USD 64.5 m ) in the fourth quarter of 2009 from a",0,,,
670,Financial Phrasebank,"Result before taxes decreased to nearly EUR 14.5 mn , compared to nearly EUR 20mn in the previous accounting period .",0,,,
671,Financial Phrasebank,The company slipped to an operating loss of EUR 2.6 million from a profit of EUR 1.3 million .,0,,,
672,Financial Phrasebank,23 April 2010 - Finnish construction and engineering company Outotec Oyj HEL : OTE1V said today it slipped to a net loss of EUR7 .3 m in the first quarter of 2010 from a net profit of EUR12 .5 m in the corresponding period last year .,0,,,
673,Financial Phrasebank,Cramo slipped to a pretax loss of EUR 6.7 million from a pretax profit of EUR 58.9 million .,0,,,
674,Financial Phrasebank,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",0,,,
675,Financial Phrasebank,"In 2009 , Comptel slipped to a net loss of EUR2 .1 m from a profit of EUR6 .6 m in the previous year .",0,,,
676,Financial Phrasebank,"In Q2 of 2009 , profit before taxes amounted to EUR 13.6 mn , down from EUR 26.8 mn in Q2 of 2008 .",0,,,
677,Financial Phrasebank,"ADPnews - Feb 5 , 2010 - Finnish real estate investor Sponda Oyj HEL : SDA1V said today that it slipped to a net loss of EUR 81.5 million USD 11.8 m in 2009 from a profit of EUR 29.3 million in 2008 .",0,,,
678,Financial Phrasebank,"ADPnews - Jul 17 , 2009 - Finland-based steel maker Rautaruukki Oyj Ruukki HEL : RTRKS said today it slipped to a net loss of EUR 184 million USD 259.7 m for the first half of 2009 from a net profit of EUR 2",0,,,
679,Financial Phrasebank,"Profit before taxes amounted to EUR 56.5 mn , down from EUR 232.9 mn a year ago .",0,,,
680,Financial Phrasebank,"Profit before taxes decreased by 9 % to EUR 187.8 mn in the first nine months of 2008 , compared to EUR 207.1 mn a year earlier .",0,,,
681,Financial Phrasebank,Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,0,,,
682,Financial Phrasebank,"Profit before taxes was EUR 4.0 mn , down from EUR 4.9 mn .",0,,,
683,Financial Phrasebank,"The company 's profit before taxes fell to EUR 21.1 mn in the third quarter of 2008 , compared to EUR 35.8 mn in the corresponding period in 2007 .",0,,,
684,Financial Phrasebank,"A state program has been worked out , legal provisions have been developed , and rules and normative documents have been specified for the functioning of a technological park .",1,,,
685,Financial Phrasebank,"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",2,,,
686,Financial Phrasebank,Finnish Bore that is owned by the Rettig family has grown recently through the acquisition of smaller shipping companies .,2,,,
687,Financial Phrasebank,The plan is estimated to generate some EUR 5 million ( USD 6.5 m ) in cost savings on an annual basis .,2,,,
688,Financial Phrasebank,"Finnish pharmaceuticals company Orion reports profit before taxes of EUR 70.0 mn in the third quarter of 2010 , up from EUR 54.9 mn in the corresponding period in 2009 .",2,,,
689,Financial Phrasebank,"Finnish Sampo Bank , of Danish Danske Bank group , reports profit before taxes of EUR 152.3 mn in 2010 , up from EUR 32.7 mn in 2009 .",2,,,
690,Financial Phrasebank,"Profit after taxes for the period was up to EUR0 .9 m , from EUR0 .01 m last year .",2,,,
691,Financial Phrasebank,"Profit before taxes was EUR 5.4 mn , up from EUR 3.6 mn a year earlier .",2,,,
692,Financial Phrasebank,Also construction expenses have gone up in Russia .,0,,,
693,Financial Phrasebank,"Neste Oil said it will build a biodiesel production facility in Rotterdam , the Netherlands , at an estimated cost of 670 million euros , naming France-based Technip as the project 's main contractor .",1,,,
694,Financial Phrasebank,The European Central Bank ECB is anticipated to raise its benchmark interest rate in the second half of 2011 at the earliest .,1,,,
695,Financial Phrasebank,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,0,,,
696,Financial Phrasebank,"Finnish power supply solutions and systems provider Efore Oyj said its net loss widened to 3.2 mln euro $ 4.2 mln for the first quarter of fiscal 2006-2007 ending October 31 , 2007 from 900,000 euro $ 1.2 mln for the same period of fiscal 2005-06 .",0,,,
697,Financial Phrasebank,"ADP News - Apr 22 , 2009 - Finnish business information systems developer Solteq Oyj HEL : STQ1V said today its net loss widened to EUR 189,000 USD 245,000 for the first quarter of 2009 from EUR 10,000 for the same peri",0,,,
698,Financial Phrasebank,Salonen added that data shows producers ' pulp inventories in North America are declining . ',0,,,
699,Financial Phrasebank,The Elcoteq group recently announced that the last three months of the previous year brought to it a major loss of more than half a billion kroons ( EUR 32 mln ) for the fifth quarter running .,0,,,
700,Financial Phrasebank,"For the current year , Raute expects its net sales to increase and the operating result -- to be positive .",2,,,
701,Financial Phrasebank,"Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand , especially in the third quarter , and the overall growth of its business .",2,,,
702,Financial Phrasebank,"As a result , the company currently anticipates net sales to increase and the operating result to be positive .",2,,,
703,Financial Phrasebank,"Asimilar agreement was signed between China Mobile Ltd. ( SEHK : 0941 and NYSE : CHL ) , the largest mobile carrier , and theGPS and social networking service provider , promoting GyPSii service before Beijing 2008 Olympic Games , according to thelatest news .",2,,,
704,Financial Phrasebank,"`` UPM 's deliveries increased during the third quarter by 4 percent , and the efficiency of operations improved , '' Chief Executive Jussi Pesonen said .",2,,,
705,Financial Phrasebank,"Global sports equipment maker Amer Sports Corp. , whose brands include Atomic , Salomon and Wilson , saw a 64 percent increase in third-quarter net profit to EURO 47.4 million $ 65 million on strong sales and cost cuts .",2,,,
706,Financial Phrasebank,"Exports make up more than 80 per cent of our sales , so the name Glaston also reflects a truly internationally operating company , '' explains Kyro 's President & CEO Mika Seitovirta .",1,,,
707,Financial Phrasebank,"Westend ICT Plc s new 409,665,891 shares and increase of share capital with EUR 2,000,000 based on the resolutions of extraordinary shareholders meeting on 27 December 2010 have today registered in the Trade Register .",1,,,
708,Financial Phrasebank,"Due to rapid expansion , the market share of Tallink in terms of passenger carriage through Tallinna Sadam Port of Tallinn totaled 55 percent in November against 45.7 percent in November 2005 .",2,,,
709,Financial Phrasebank,"Finnish industrial investor Panostaja Oyj OMX Helsinki : PNAAS OMX Helsinki : PNABS said on Friday 11 July that it has signed a deal to acquire the entire share capital of Kospa Oy , the manufacturer of waste disposal equipment .",2,,,
710,Financial Phrasebank,"Stora Enso R shares rose 1.20 pct to 11.84 eur , UPM-Kymmene was also dragged higher , rising 1.68 pct to 17.56 eur and M-Real B added 2.38 pct to 4.30 eur .",2,,,
711,Financial Phrasebank,Cash Flow from Operations for the most recent quarter also reached a eight year low .,0,,,
712,Financial Phrasebank,Both loans will be used to finance strategic investments such as shopping center redevelopment projects and refinancing of maturing debt .,2,,,
713,Financial Phrasebank,"The stock price rose 70.0 ores or 0.9 % to close at SEK77 .65 , ending a two-day streak of losses .",2,,,
714,Financial Phrasebank,"Earnings per share ( EPS ) amounted to EUR0 .98 , up from the loss of EUR0 .02 .",2,,,
715,Financial Phrasebank,"Earnings per share ( EPS ) were EUR0 .03 , up from the loss of EUR0 .083 .",2,,,
716,Financial Phrasebank,"Operating profit totalled EUR 0.4 mn , up from an operating loss of EUR 0.8 mn year-on-year .",2,,,
717,Financial Phrasebank,"Operating profit totalled EUR 7.0 mn , up from a loss of EUR 4.0 mn in the second quarter of 2009 .",2,,,
718,Financial Phrasebank,Operating result including non-recurring items rose to EUR 146mn from a loss of EUR 267mn in 2009 .,2,,,
719,Financial Phrasebank,"Tiimari , the Finnish retailer , reported to have geenrated quarterly revenues totalling EUR 1.3 mn in the 4th quarter 2009 , up from EUR 0.3 mn loss in 2008 .",2,,,
720,Financial Phrasebank,"Earnings per share EPS amounted to EUR0 .03 , up from the loss of EUR0 .08 .",2,,,
721,Financial Phrasebank,"Operating profit totalled EUR 5.8 mn , up from a loss of EUR 1.7 mn in the fourth quarter of 2009 .",2,,,
722,Financial Phrasebank,"Operating profit was EUR 0.6 mn , up from a loss of EUR 19mn a year earlier .",2,,,
723,Financial Phrasebank,The investments and operational changes enable additional optimisation of the working hours and thereby further cost savings of some 7 % -9 % .,2,,,
724,Financial Phrasebank,"Okmetic 's products are based on high-tech expertise that generates added value for customers , innovative product development and an extremely efficient production process .",2,,,
725,Financial Phrasebank,"Shareholder 's full name and ID code : - Petri Ailus , born 15.9.1966 For further information , please contact Isto Hantila , CEO , tel. +358 9 591 8342 .",1,,,
726,Financial Phrasebank,"9 September 2010 - Finnish stationery and gift retailer Tiimari HEL : TII1V said today its net sales rose by 2 % year-on-year to EUR5 .7 m in August 2010 , driven by growth in Finland , while demand in the Baltics remained weak .",2,,,
727,Financial Phrasebank,"By 14:29 CET on Monday , shares in Bavarian Nordic had climbed 1.21 % to DKK250 on the stock exchange in Copenhagen after having lost 7.41 % in the past month .",2,,,
728,Financial Phrasebank,"For example , net sales increased by 5.9 % from the first quarter , and EBITDA increased from a negative EUR 0.2 mn in the first quarter of 2009 .",2,,,
729,Financial Phrasebank,"Mobile phone sales rose 25 % to 5.87 billion euros , while enterprise solution sales dropped 39 % to 186 million euros .",2,,,
730,Financial Phrasebank,RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .,0,,,
731,Financial Phrasebank,"`` However , the rapidly increasing costs and the strengthening of the euro were challenging for the whole industry , and they impacted on our results . ''",0,,,
732,Financial Phrasebank,"At this growth rate , paying off the national debt will be extremely painful .",0,,,
733,Financial Phrasebank,Operating loss increased to EUR 17mn from a loss of EUR 10.8 mn in 2005 .,0,,,
734,Financial Phrasebank,"The payment of 2.779 million litas in interest on a long-term loan provided by Ragutis ' majority shareholder , Estonia 's A. Le Coq , also added to the losses .",0,,,
735,Financial Phrasebank,"At the moment , Valio is not worried , but if the ban continues for long , it may become quite a problem .",0,,,
736,Financial Phrasebank,Sponda will record a profit from the sale of 8.5 mln euro ($ 12.4 mln).,2,,,
737,Financial Phrasebank,"Cencorp estimates that its net sales in the last quarter will be as earlier stated , EUR4 .3 m to EUR5 .0 m , and operating profit (EBIT)is estimated to be positive .",2,,,
738,Financial Phrasebank,`` Our customer has been satisfied with Basware Invoice Automation solution and extends the implementation to new geographies .,2,,,
739,Financial Phrasebank,Repeats sees 2008 EBITA above 18 pct of sales .,2,,,
740,Financial Phrasebank,` By separating side businesses we will be able to faster expand and develop Tapro retail network .,2,,,
741,Financial Phrasebank,"` Our strategic cooperation with Rentakran brings us new customers and already-working relationships with the authorities of the new territories , ' said Jarmo Laasanen , a senior manager at Cramo .",2,,,
742,Financial Phrasebank,"` Patja has worked well for us for more than a decade , and Fujitsu 's new bid was competitive .",1,,,
743,Financial Phrasebank,"`` After the share purchase is completed , financing will also be provided to expand Latvia 's broadband infrastructure and to develop new areas of business , including acquisitions of other companies . ''",2,,,
744,Financial Phrasebank,"`` In terms of profitability and earnings 2007 was the best year in our history , '' Chief Executive Veli-Matti Mattila said .",2,,,
745,Financial Phrasebank,`` The Government has had a very professional approach in assessing the offer .,2,,,
746,Financial Phrasebank,"`` The margarine business has been put into good shape in the last two years , making it a natural addition to Bunge , which is looking to leverage its position in the Central and Northern European markets , '' Raisio CEO Matti Rihko said in a statement .",2,,,
747,Financial Phrasebank,`` This is a win for all OEMs targeting to develop WiMAX products .,2,,,
748,Financial Phrasebank,"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",2,,,
749,Financial Phrasebank,"Finnish electronics manufacturing services company Elcoteq signing a cooperation agreement with a Japanese mobile phone manufacturer , bypasses Elcoteq Tallinn , says Jan Kotka , CEO of Elcoteq Tallinn .",2,,,
750,Financial Phrasebank,"According to A-Rehu 's Managing Director , Jouko Lahtinen , the project will stabilise costs and improve supply security .",2,,,
751,Financial Phrasebank,"According to CEO Matti Karppinen , Frozen Foods posted a good result in 2010 , as it did in 2009 .",2,,,
752,Financial Phrasebank,"According to Viking Line 's Managing Director , Nils-Erik Eklund , the company 's Board of Directors is very satisfied with Viking Line 's performance .",2,,,
753,Financial Phrasebank,Actions to improve operational efficiency and adjust operations are expected to deliver annualised permanent cost savings of around EUR 4.5 million and will be effected mostly during the first half of 2010 .,2,,,
754,Financial Phrasebank,"At the same time , sales development in Russia was boosted by the opening of Stockmann Nevsky Centre in St Petersburg .",2,,,
755,Financial Phrasebank,"Benefon , a wireless and GPS technology company , will supply Karputer with its TWIG navigation platform , a GPS satellite navigation and voice guidance service .",2,,,
756,Financial Phrasebank,"Biohit and VWR have been in close cooperation for a number of years in the US , where Biohit is one of VWR 's focus suppliers .",2,,,
757,Financial Phrasebank,Combining this deep domain expertise with our Application Service Management ASM and outsourcing service offerings has now proved to be a winning combination .,2,,,
758,Financial Phrasebank,Demand was brisk as expected and order levels have remained high .,2,,,
759,Financial Phrasebank,"During the past decade it has gradually divested noncore assets and bought several sports equipment makers , including California-based Fitness Products International and Sparks , Nevada-based ATEC , a leading maker of baseball and softball pitching machines .",2,,,
760,Financial Phrasebank,Espoon kaupunki awarded contracts for personal care products .,2,,,
761,Financial Phrasebank,"Exports accounted for 65.4 % of net sales , representing an all time record for the company .",2,,,
762,Financial Phrasebank,Finland 's Poyry Energy has won a contract to advise builders of a new cogeneration power plant in Lithuania 's second-biggest city of Kaunas and to supervise the construction process .,2,,,
763,Financial Phrasebank,"Finnish construction company YIT Oyj said on November 13 , 2007 it won a 70 mln euro $ 102.8 mln contract to construct the new office building for local property company Tapiola Real Estate Oy .",2,,,
764,Financial Phrasebank,In 2005 Cargotec 's net sales exceeded EUR 2.3 billion .,1,,,
765,Financial Phrasebank,"In 2006 , Kone received an order from Aker Yards to supply 43 customised elevators for the very first Genesis cruise ship which is scheduled to be completed in 2009 .",2,,,
766,Financial Phrasebank,"In addition to fireplace exports , demand for lining stone has exceeded the level of the earlier part of the year and will continue to be clearly brisker for the remainder of the year .",2,,,
767,Financial Phrasebank,Kalmar has been awarded a new 5-year contract to supply its Rough Terrain Container Handler RTCH .,2,,,
768,Financial Phrasebank,Major Order in India Comptel Corporation has received a significant long-term order for mediation and provisioning solutions being used by a leading operator in India .,2,,,
769,Financial Phrasebank,Managing Director Kari Inkinen says that Sponda 's leasing operations developed highly favourably .,2,,,
770,Financial Phrasebank,Net cash flow from operations is expected to remain positive .,2,,,
771,Financial Phrasebank,"Of the price , Kesko 's share is 10 mln euro $ 15.5 mln and it will recognize a gain of 4.0 mln euro $ 6.2 mln on the disposal which will be included in the result for the second quarter of 2008 .",2,,,
772,Financial Phrasebank,Olvi has posted a strong set of figures for the first six months of this year .,2,,,
773,Financial Phrasebank,Operating profit improved by 27 % to EUR 579.8 mn from EUR 457.2 mn in 2006 .,2,,,
774,Financial Phrasebank,Our standardised services have met with a positive reception among our customers as well as at Itella .,2,,,
